path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,relative_path,size_mb,last_modified,possible_duplicate
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/NA_CEC_Eco_Level1.shp,file, 42.2M,rw-r--r--,2025-05-12T22:13:05Z,cjtinant,staff,16777233,1,0,208478835,4096,86424,64,0,2025-06-30T17:50:38Z,2025-05-27T19:28:42Z,2025-05-12T21:54:48Z,shp,NA_CEC_Eco_Level1.shp,ecoregions/NA_CEC_Eco_Level1.shp,44.25,2025-05-12T22:13:05Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/NA_CEC_Eco_Level2.shp,file, 44.95M,rw-r--r--,2025-05-12T22:20:06Z,cjtinant,staff,16777233,1,0,208485289,4096,92056,64,0,2025-06-30T17:50:38Z,2025-05-27T19:28:43Z,2025-05-12T22:08:13Z,shp,NA_CEC_Eco_Level2.shp,ecoregions/NA_CEC_Eco_Level2.shp,47.13,2025-05-12T22:20:06Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/NA_CEC_Eco_Level3.shp,file, 50.75M,rw-r--r--,2025-05-12T22:22:25Z,cjtinant,staff,16777233,1,0,208497045,4096,103936,64,0,2025-06-30T17:50:38Z,2025-05-27T19:28:43Z,2025-05-12T22:21:26Z,shp,NA_CEC_Eco_Level3.shp,ecoregions/NA_CEC_Eco_Level3.shp,53.21,2025-05-12T22:22:25Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/na_eco_lev02.zip,file, 29.93M,rw-r--r--,2025-05-12T22:08:13Z,cjtinant,staff,16777233,1,0,208485191,4096,61312,64,0,2025-06-30T17:50:37Z,2025-05-27T19:28:42Z,2025-05-12T22:07:59Z,zip,na_eco_lev02.zip,ecoregions/na_eco_lev02.zip,31.39,2025-05-12T22:08:13Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/na_eco_lev03.zip,file, 33.95M,rw-r--r--,2025-05-12T22:21:26Z,cjtinant,staff,16777233,1,0,208497009,4096,69528,64,0,2025-06-30T17:50:37Z,2025-05-27T19:28:43Z,2025-05-12T22:21:24Z,zip,na_eco_lev03.zip,ecoregions/na_eco_lev03.zip,35.6,2025-05-12T22:21:26Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/us_eco_l1.shp,file, 55.56M,rw-r--r--,2025-05-12T22:45:50Z,cjtinant,staff,16777233,1,0,208509481,4096,113792,64,0,2025-06-30T02:58:07Z,2025-05-27T19:28:43Z,2025-05-12T22:45:50Z,shp,us_eco_l1.shp,ecoregions/us_eco_l1.shp,58.26,2025-05-12T22:45:50Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/us_eco_l2.shp,file, 57.3M,rw-r--r--,2025-05-12T22:46:03Z,cjtinant,staff,16777233,1,0,208509656,4096,117360,64,0,2025-06-30T02:58:07Z,2025-05-27T19:28:43Z,2025-05-12T22:46:02Z,shp,us_eco_l2.shp,ecoregions/us_eco_l2.shp,60.08,2025-05-12T22:46:03Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/us_eco_l3.shp,file, 61.01M,rw-r--r--,2025-05-12T22:46:12Z,cjtinant,staff,16777233,1,0,208509842,4096,124960,64,0,2025-06-30T02:58:07Z,2025-05-27T19:28:43Z,2025-05-12T22:46:12Z,shp,us_eco_l3.shp,ecoregions/us_eco_l3.shp,63.98,2025-05-12T22:46:12Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/us_eco_l4_no_st.shp,file, 90.62M,rw-r--r--,2025-05-12T22:23:37Z,cjtinant,staff,16777233,1,0,208498382,4096,185584,64,0,2025-06-30T02:58:07Z,2025-05-27T19:28:43Z,2025-05-12T22:23:37Z,shp,us_eco_l4_no_st.shp,ecoregions/us_eco_l4_no_st.shp,95.02,2025-05-12T22:23:37Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/ecoregions/us_eco_lev04.zip,file, 63.1M,rw-r--r--,2025-05-12T22:23:37Z,cjtinant,staff,16777233,1,0,208498309,4096,129240,64,0,2025-06-30T02:55:59Z,2025-05-27T19:28:43Z,2025-05-12T22:23:34Z,zip,us_eco_lev04.zip,ecoregions/us_eco_lev04.zip,66.17,2025-05-12T22:23:37Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/koppen_climate/koppen_geiger.zip,file,124.3M,rw-r--r--,2025-05-13T20:58:52Z,cjtinant,staff,16777233,1,0,208802916,4096,254576,64,0,2025-06-30T17:51:03Z,2025-05-27T19:28:43Z,2025-05-13T20:58:29Z,zip,koppen_geiger.zip,koppen_climate/koppen_geiger.zip,130.34,2025-05-13T20:58:52Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdplus/nhd_catchment_v21.gpkg,file,682.7M,rw-r--r--,2025-06-04T20:35:01Z,cjtinant,staff,16777233,1,0,216384845,4096,1398168,64,0,2025-06-30T02:55:56Z,2025-06-04T20:35:08Z,2025-06-04T20:34:53Z,gpkg,nhd_catchment_v21.gpkg,nhdplus/nhd_catchment_v21.gpkg,715.86,2025-06-04T20:35:01Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdplus/nhd_flowline_v21.gpkg,file,332.08M,rw-r--r--,2025-06-04T20:34:43Z,cjtinant,staff,16777233,1,0,216384640,4096,680096,64,0,2025-06-30T02:55:56Z,2025-06-04T20:34:58Z,2025-06-04T20:34:32Z,gpkg,nhd_flowline_v21.gpkg,nhdplus/nhd_flowline_v21.gpkg,348.21,2025-06-04T20:34:43Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nlcd/nlcd_tcc_PRUSVI_2016_v2021-4.zip,file,  8.95M,rw-r--r--,2025-06-23T21:12:11Z,cjtinant,staff,16777233,1,0,222630722,4096,18344,64,0,2025-06-30T02:56:00Z,2025-06-23T21:18:01Z,2025-06-23T21:12:07Z,zip,nlcd_tcc_PRUSVI_2016_v2021-4.zip,nlcd/nlcd_tcc_PRUSVI_2016_v2021-4.zip,9.39,2025-06-23T21:12:11Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/peakflow_gages/sites_pk_eco_only.gpkg,file,  1.17M,rw-r--r--,2025-07-05T19:06:15Z,cjtinant,staff,16777233,1,0,222565761,4096,2392,64,0,2025-07-05T19:06:15Z,2025-07-05T19:06:15Z,2025-06-23T18:38:37Z,gpkg,sites_pk_eco_only.gpkg,peakflow_gages/sites_pk_eco_only.gpkg,1.22,2025-07-05T19:06:15Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/phzm/phzm.zip,file, 39.17M,rw-r--r--,2025-05-14T14:08:09Z,cjtinant,staff,16777233,1,0,209343890,4096,80216,64,0,2025-06-30T17:50:38Z,2025-05-27T19:29:57Z,2025-05-14T14:08:04Z,zip,phzm.zip,phzm/phzm.zip,41.07,2025-05-14T14:08:09Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/prism/PRISM_ppt_30yr_normal_800mM4_annual_bil.zip,file, 39.31M,rw-r--r--,2025-05-13T21:20:03Z,cjtinant,staff,16777233,1,0,208816592,4096,80512,64,0,2025-06-30T02:55:56Z,2025-05-27T19:28:44Z,2025-05-13T21:19:59Z,zip,PRISM_ppt_30yr_normal_800mM4_annual_bil.zip,prism/PRISM_ppt_30yr_normal_800mM4_annual_bil.zip,41.22,2025-05-13T21:20:03Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/prism/PRISM_tmean_30yr_normal_800mM5_annual_bil.zip,file, 15.45M,rw-r--r--,2025-05-13T21:23:43Z,cjtinant,staff,16777233,1,0,208817947,4096,31640,64,0,2025-06-30T02:55:56Z,2025-05-27T17:56:16Z,2025-05-13T21:23:41Z,zip,PRISM_tmean_30yr_normal_800mM5_annual_bil.zip,prism/PRISM_tmean_30yr_normal_800mM5_annual_bil.zip,16.2,2025-05-13T21:23:43Z,FALSE
